id,ts,originator_id,receiver_id,amount,originator_name,receiver_name,originator_state,receiver_state,account_age_days,payment_type,sec_code,channel,is_fraud
106bdbc0-9483-412a-b94a-556aa44f9d2f,2026-06-23T15:38:18.584976+00:00,ORIG-42098,RCVR-39256,3322.91,Pine Valley Foods,Avery Johnson,WA,IL,358,Tax payment,CCD,Online banking,0
ce763969-5673-449f-a08a-0576b9981efa,2026-08-12T07:48:18.584976+00:00,ORIG-13478,RCVR-83563,168.05,Pine Valley Foods,Maple Consulting,OH,TX,3317,Payroll,PPD,API,0
aae51232-9253-43d4-a040-19895bf1d260,2026-07-20T21:11:18.584976+00:00,ORIG-23396,RCVR-22156,305.95,Summit Health,Avery Johnson,GA,MA,1085,Payroll,WEB,API,0
2758c451-e1dc-4027-8c71-b8d34e1bf010,2026-08-09T11:47:18.584976+00:00,ORIG-82357,RCVR-48427,531.58,Harbor Manufacturing,Brightline Supply,NC,CO,935,Bill payment,PPD,File upload,0
5bc78704-f7db-427b-ac5b-d01d2b59627b,2026-08-11T15:50:18.584976+00:00,ORIG-57819,RCVR-31319,242.28,Harbor Manufacturing,Cedar Utilities,NY,VA,2801,Payroll,WEB,API,0
6bcdf91e-8a7d-430b-a446-7373ef178f7c,2026-07-03T05:38:18.584976+00:00,ORIG-59735,RCVR-45382,291.7,Pine Valley Foods,Cedar Utilities,FL,NY,866,Tax payment,WEB,Online banking,0
e92e8ecc-632f-4ea9-a7f6-c3fbda58f5c8,2026-06-22T04:39:18.584976+00:00,ORIG-28726,RCVR-44718,799.29,Pine Valley Foods,Brightline Supply,VA,NY,3061,Tax payment,CCD,File upload,0
0491f940-843e-4ef0-93b5-54641ae2e570,2026-07-15T11:58:18.584976+00:00,ORIG-74686,RCVR-21915,237.05,Northstar Services,Avery Johnson,FL,OH,2789,Direct deposit,WEB,Online banking,0
2ab850a7-c81f-459f-a664-f2cfd114b63c,2026-07-17T02:49:18.584976+00:00,ORIG-42953,RCVR-82512,668.43,Northstar Services,Avery Johnson,NY,OH,1094,Bill payment,PPD,Online banking,0
0524138c-77d1-4a3d-8a74-e17738eae5d6,2026-08-06T10:58:18.584976+00:00,ORIG-44522,RCVR-75612,795.94,Pine Valley Foods,Avery Johnson,WA,WA,2619,Tax payment,WEB,Online banking,0
